G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM,ACG
20210929OBKT0,20210929,OB,KT,0,수,수원,2
20210929SKSS0,20210929,SK,SS,0,수,대구,2
20210929WOHH0,20210929,WO,HH,0,수,대전,2
20210930HHSS0,20210930,HH,SS,0,목,대구,2
20210930KTLT0,20210930,KT,LT,0,목,사직,2
20210930OBLG0,20210930,OB,LG,0,목,잠실,2
20210930SKNC0,20210930,SK,NC,0,목,창원,2
20210930WOHT0,20210930,WO,HT,0,목,광주,2
20211001HHSS0,20211001,HH,SS,0,금,대구,2
20211001KTLT0,20211001,KT,LT,0,금,사직,2
20211001OBLG0,20211001,OB,LG,0,금,잠실,2
20211001SKNC0,20211001,SK,NC,0,금,창원,2
20211001WOHT0,20211001,WO,HT,0,금,광주,2
20211002HHHT0,20211002,HH,HT,0,토,광주,2
20211002KTSK0,20211002,KT,SK,0,토,문학,2
20211002LGWO0,20211002,LG,WO,0,토,고척,2
20211002NCLT0,20211002,NC,LT,0,토,사직,2
20211002SSOB0,20211002,SS,OB,0,토,잠실,2
20211003HHHT0,20211003,HH,HT,0,일,광주,2
20211003KTSK0,20211003,KT,SK,0,일,문학,2
20211003LGWO0,20211003,LG,WO,0,일,고척,2
20211003NCLT0,20211003,NC,LT,0,일,사직,2
20211003SSOB0,20211003,SS,OB,0,일,잠실,2
20211005HTLT0,20211005,HT,LT,0,화,사직,2
20211005NCKT0,20211005,NC,KT,0,화,수원,2
20211005OBHH0,20211005,OB,HH,0,화,대전,2
20211005SKLG0,20211005,SK,LG,0,화,잠실,2
20211005SSWO0,20211005,SS,WO,0,화,고척,2
20211006HTLT0,20211006,HT,LT,0,수,사직,2
20211006NCKT0,20211006,NC,KT,0,수,수원,2
20211006OBHH0,20211006,OB,HH,0,수,대전,2
20211006SKLG0,20211006,SK,LG,0,수,잠실,2
20211006SSWO0,20211006,SS,WO,0,수,고척,2
20211007LGHT0,20211007,LG,HT,0,목,광주,2
20211007LTOB0,20211007,LT,OB,0,목,잠실,2
20211007SKHH0,20211007,SK,HH,0,목,대전,2
20211007SSNC0,20211007,SS,NC,0,목,창원,2
20211007WOKT0,20211007,WO,KT,0,목,수원,2
20211008LGHT0,20211008,LG,HT,0,금,광주,2
20211008LTOB0,20211008,LT,OB,0,금,잠실,2
20211008SKHH0,20211008,SK,HH,0,금,대전,2
20211008SSNC0,20211008,SS,NC,0,금,창원,2
20211008WOKT0,20211008,WO,KT,0,금,수원,2
